FLOW_IN,ALL_FLOW_OUT
400,385.2
400,388.8
400,385.2
400,385.2
400,385.2
400,385.2
400,385.2
400,385.2
400,385.2
400,385.2
500,482.4
500,482.4
500,482.4
500,478.8
500,478.8
500,482.4
500,482.4
500,482.4
500,482.4
500,482.4
600,572.4
600,576.0
600,572.4
600,572.4
600,576.0
600,576.0
600,576.0
600,576.0
600,572.4
600,576.0
700,673.2
700,669.6
700,669.6
700,669.6
700,673.2
700,673.2
700,666.0
700,673.2
700,673.2
700,669.6
800,763.2
800,766.8
800,763.2
800,766.8
800,763.2
800,763.2
800,766.8
800,766.8
800,766.8
800,766.8
900,864.0
900,864.0
900,860.4
900,864.0
900,856.8
900,856.8
900,860.4
900,856.8
900,864.0
900,864.0
1000,954.0
1000,957.6
1000,950.4
1000,954.0
1000,954.0
1000,957.6
1000,957.6
1000,957.6
1000,950.4
1000,954.0
1100,1047.6
1100,1051.2
1100,1058.4
1100,1054.8
1100,1047.6
1100,1054.8
1100,1051.2
1100,1054.8
1100,1051.2
1100,1044.0
1200,1141.2
1200,1144.8
1200,1144.8
1200,1144.8
1200,1148.4
1200,1141.2
1200,1141.2
1200,1144.8
1200,1141.2
1200,1141.2
1300,1238.4
1300,1242.0
1300,1242.0
1300,1238.4
1300,1238.4
1300,1242.0
1300,1238.4
1300,1238.4
1300,1234.8
1300,1234.8
1400,1335.6
1400,1328.4
1400,1332.0
1400,1328.4
1400,1335.6
1400,1332.0
1400,1332.0
1400,1332.0
1400,1328.4
1400,1335.6
1500,1425.6
1500,1425.6
1500,1422.0
1500,1425.6
1500,1425.6
1500,1429.2
1500,1425.6
1500,1429.2
1500,1425.6
1500,1432.8
1600,1519.2
1600,1522.8
1600,1515.6
1600,1519.2
1600,1522.8
1600,1519.2
1600,1526.4
1600,1522.8
1600,1522.8
1600,1512.0
1700,1612.8
1700,1620.0
1700,1612.8
1700,1620.0
1700,1616.4
1700,1616.4
1700,1612.8
1700,1609.2
1700,1620.0
1700,1616.4
1800,1710.0
1800,1713.6
1800,1706.4
1800,1706.4
1800,1706.4
1800,1713.6
1800,1710.0
1800,1706.4
1800,1706.4
1800,1710.0
1900,1803.6
1900,1436.4
1900,1796.4
1900,1803.6
1900,1746.0
1900,1796.4
1900,1803.6
1900,1807.2
1900,1522.8
1900,1800.0
2000,1893.6
2000,1897.2
2000,1555.2
2000,1893.6
2000,1864.8
2000,1494.0
2000,1789.2
2000,1897.2
2000,1893.6
2000,1897.2
2100,1980.0
2100,1519.2
2100,1983.6
2100,1530.0
2100,1746.0
2100,1602.0
2100,1537.2
2100,1634.4
2100,1562.4
2100,1465.2
2200,1472.4
2200,1501.2
2200,1515.6
2200,1501.2
2200,1522.8
2200,1519.2
2200,1458.0
2200,1486.8
2200,1623.6
2200,1508.4
2300,1490.4
2300,1483.2
2300,1468.8
2300,1497.6
2300,1483.2
2300,1468.8
2300,1494.0
2300,1490.4
2300,1468.8
2300,1486.8
2400,1486.8
2400,1479.6
2400,1494.0
2400,1465.2
2400,1483.2
2400,1472.4
2400,1479.6
2400,1486.8
2400,1458.0
2400,1486.8
2500,1461.6
2500,1479.6
2500,1468.8
2500,1461.6
2500,1461.6
2500,1472.4
2500,1494.0
2500,1472.4
2500,1476.0
2500,1476.0
2600,1458.0
2600,1458.0
2600,1465.2
2600,1450.8
2600,1447.2
2600,1472.4
2600,1468.8
2600,1443.6
2600,1461.6
2600,1454.4
2700,1465.2
2700,1461.6
2700,1454.4
2700,1530.0
2700,1479.6
2700,1472.4
2700,1486.8
2700,1465.2
2700,1479.6
2700,1468.8
2800,1454.4
2800,1461.6
2800,1450.8
2800,1476.0
2800,1465.2
2800,1465.2
2800,1461.6
2800,1458.0
2800,1443.6
2800,1458.0
2900,1440.0
2900,1450.8
2900,1476.0
2900,1461.6
2900,1465.2
2900,1458.0
2900,1472.4
2900,1461.6
2900,1461.6
2900,1472.4
3000,1483.2
3000,1465.2
3000,1468.8
3000,1468.8
3000,1443.6
3000,1458.0
3000,1458.0
3000,1461.6
3000,1458.0
3000,1450.8
3100,1429.2
3100,1461.6
3100,1454.4
3100,1454.4
3100,1454.4
3100,1450.8
3100,1443.6
3100,1450.8
3100,1468.8
3100,1450.8
3200,1465.2
3200,1465.2
3200,1465.2
3200,1458.0
3200,1458.0
3200,1443.6
3200,1461.6
3200,1476.0
3200,1454.4
3200,1465.2
3300,1454.4
3300,1454.4
3300,1443.6
3300,1454.4
3300,1447.2
3300,1443.6
3300,1454.4
3300,1461.6
3300,1447.2
3300,1458.0
3400,1447.2
3400,1450.8
3400,1454.4
3400,1450.8
3400,1454.4
3400,1461.6
3400,1468.8
3400,1465.2
3400,1461.6
3400,1450.8
3500,1450.8
3500,1440.0
3500,1447.2
3500,1440.0
3500,1450.8
3500,1458.0
3500,1450.8
3500,1458.0
3500,1443.6
3500,1440.0
